"castaway_id","version","season","version_season","castaway","order","jury_status","result","winner","gender","all_confess","merge","wins","idols","confess_per_ep"
"AU0001","AU",1,"AU01","Des",1,NA,"1st voted out",0,"Male",11,0,0,0,11
"AU0002","AU",1,"AU01","Bianca",2,NA,"2nd voted out",0,"Female",8,0,1,0,4
"AU0003","AU",1,"AU01","Evan",3,NA,"3rd voted out",0,"Male",23,0,1,0,7.67
"AU0004","AU",1,"AU01","Peter",4,NA,"Quit",0,"Male",12,0,4,0,3
"AU0005","AU",1,"AU01","Barry",5,NA,"4th voted out",0,"Male",8,0,5,0,1.6
"AU0006","AU",1,"AU01","Tegan",6,NA,"5th voted out",0,"Female",14,0,7,0,2.33
"AU0007","AU",1,"AU01","Rohan",7,NA,"6th voted out",0,"Male",28,0,5,1,4
"AU0008","AU",1,"AU01","Kat",8,NA,"7th voted out",0,"Female",42,0,5,0,5.25
"AU0009","AU",1,"AU01","Andrew",9,NA,"8th voted out",0,"Male",37,0,7,0,4.11
"AU0010","AU",1,"AU01","Craig",10,NA,"9th voted out",0,"Male",34,0,7,0,3.4
"AU0011","AU",1,"AU01","Phoebe",11,NA,"10th voted out",0,"Female",87,0,5,1,7.91
"AU0012","AU",1,"AU01","Conner",12,NA,"11th voted out",0,"Male",44,0,7,0,3.67
"AU0013","AU",1,"AU01","Kate",13,NA,"12th voted out",0,"Female",42,0,7,0,3.23
"AU0014","AU",1,"AU01","Nick",14,"1st jury member","13th voted out",0,"Male",78,1,15,1,5.57
"AU0015","AU",1,"AU01","Kylie",15,"2nd jury member","14th voted out",0,"Female",42,1,15,1,2.8
"AU0016","AU",1,"AU01","Sue",16,"3rd jury member","15th voted out",0,"Female",35,1,7,0,2.19
"AU0017","AU",1,"AU01","Jennah-Louise",17,"4th jury member","16th voted out",0,"Female",58,1,14,0,3.41
"AU0018","AU",1,"AU01","Brooke",18,"5th jury member","17th voted out",0,"Female",61,1,15,1,3.39
"AU0019","AU",1,"AU01","Sam",19,"6th jury member","18th voted out",0,"Male",70,1,14,0,3.68
"AU0020","AU",1,"AU01","Matt",20,"7th jury member","19th voted out",0,"Male",80,1,15,0,4
"AU0021","AU",1,"AU01","Flick",21,"8th jury member","20th voted out",0,"Female",86,1,15,0,4.1
"AU0022","AU",1,"AU01","El",22,"9th jury member","21st voted out",0,"Female",39,1,12,0,1.77
"AU0023","AU",1,"AU01","Lee",23,NA,"Runner-up",0,"Male",70,1,12,0,3.04
"AU0024","AU",1,"AU01","Kristie",24,NA,"Sole Survivor",1,"Female",84,1,5,0,3.5
"AU0025","AU",2,"AU02","Joan",1,NA,"1st voted out",0,"Female",12,0,1,0,12
"AU0026","AU",2,"AU02","Adam",2,NA,"2nd voted out",0,"Male",11,0,3,0,5.5
"AU0027","AU",2,"AU02","Kate",3,NA,"3rd voted out",0,"Female",4,0,4,0,1.33
"AU0028","AU",2,"AU02","Tarzan",4,NA,"4th voted out",0,"Male",22,0,5,1,5.5
"AU0029","AU",2,"AU02","Aimee",5,NA,"5th voted out",0,"Female",4,0,5,0,0.8
"AU0030","AU",2,"AU02","Sam",6,NA,"6th voted out",0,"Female",20,0,5,0,3.33
"AU0031","AU",2,"AU02","Mark",7,NA,"7th voted out",0,"Male",21,0,5,0,3
"AU0032","AU",2,"AU02","Jacqui",8,NA,"8th voted out",0,"Female",19,0,7,0,2.38
"AU0033","AU",2,"AU02","Kent",9,NA,"9th voted out",0,"Male",23,0,8,0,2.56
"AU0034","AU",2,"AU02","AK",10,NA,"10th voted out",0,"Male",64,0,12,1,6.4
"AU0035","AU",2,"AU02","Ben",11,NA,"11th voted out",0,"Male",11,0,11,0,1
"AU0036","AU",2,"AU02","Odette",12,NA,"12th voted out",0,"Female",17,0,10,0,1.42
"AU0037","AU",2,"AU02","Jarrad",13,"1st jury member","13th voted out",0,"Male",21,1,15,0,1.62
"AU0038","AU",2,"AU02","Anneliese",14,"2nd jury member","14th voted out",0,"Female",40,1,13,1,2.86
"AU0039","AU",2,"AU02","Henry",15,"3rd jury member","15th voted out",0,"Male",80,1,14,1,5.33
"AU0040","AU",2,"AU02","Tessa",16,"Removed from jury","16th voted out",0,"Female",49,1,15,0,3.06
"AU0041","AU",2,"AU02","Sarah",17,"4th jury member","17th voted out",0,"Female",61,1,10,0,3.59
"AU0042","AU",2,"AU02","Luke",18,"5th jury member","18th voted out",0,"Male",113,1,10,1,6.28
"AU0043","AU",2,"AU02","Ziggy",19,"6th jury member","19th voted out",0,"Female",45,1,15,2,2.37
"AU0044","AU",2,"AU02","Locky",20,"7th jury member","20th voted out",0,"Male",86,1,15,0,4.3
"AU0045","AU",2,"AU02","Michelle",21,"8th jury member","21st voted out",0,"Female",77,1,12,0,3.67
"AU0046","AU",2,"AU02","Peter",22,"9th jury member","22nd voted out",0,"Male",45,1,13,1,2.05
"AU0047","AU",2,"AU02","Tara",23,NA,"Runner-up",0,"Female",106,1,11,1,4.61
"AU0048","AU",2,"AU02","Jericho",24,NA,"Sole Survivor",1,"Male",88,1,10,3,3.67
"AU0049","AU",3,"AU03","Matt",1,NA,"1st voted out",0,"Male",8,0,1,0,8
"US0300","AU",3,"AU03","Russell",2,NA,"2nd voted out",0,"Male",20,0,3,1,10
"AU0050","AU",3,"AU03","Damien",3,NA,"3rd voted out",0,"Male",6,0,4,0,2
"AU0051","AU",3,"AU03","Steve K.",4,NA,"4th voted out",0,"Male",12,0,3,0,3
"AU0052","AU",3,"AU03","Jenna",5,NA,"5th voted out",0,"Female",14,0,3,0,2.8
"AU0053","AU",3,"AU03","Moana",6,NA,"6th voted out",0,"Female",21,0,9,1,3.5
"AU0054","AU",3,"AU03","Tegan",7,NA,"7th voted out",0,"Female",37,0,4,0,5.29
"AU0055","AU",3,"AU03","Anita",8,NA,"8th voted out",0,"Female",17,0,4,0,2.12
"AU0056","AU",3,"AU03","Zach",9,NA,"9th voted out",0,"Male",26,0,4,0,2.89
"AU0057","AU",3,"AU03","Paige",10,NA,"10th voted out",0,"Female",12,0,4,0,1.2
"AU0058","AU",3,"AU03","Jackie",11,NA,"11th voted out",0,"Female",21,0,14,0,1.91
"AU0054","AU",3,"AU03","Tegan",12,NA,"12th voted out",0,"Female",37,0,4,0,3.08
"AU0059","AU",3,"AU03","Heath",13,NA,"13th voted out",0,"Male",17,0,7,1,1.31
"AU0060","AU",3,"AU03","Lydia",14,NA,"14th voted out",0,"Female",18,0,17,0,1.29
"AU0061","AU",3,"AU03","Robbie",15,"1st jury member","15th voted out",0,"Male",15,1,7,0,1
"AU0062","AU",3,"AU03","Samuel",16,"2nd jury member","16th voted out",0,"Male",26,1,15,0,1.62
"AU0063","AU",3,"AU03","Mat",17,"3rd jury member","17th voted out",0,"Male",57,1,15,0,3.35
"AU0064","AU",3,"AU03","Benji",18,"4th jury member","18th voted out",0,"Male",71,1,7,1,3.94
"AU0065","AU",3,"AU03","Steve W.",19,"5th jury member","19th voted out",0,"Male",24,1,15,0,1.26
"AU0066","AU",3,"AU03","Fenella",20,"6th jury member","20th voted out",0,"Female",22,1,7,0,1.1
"AU0067","AU",3,"AU03","Monika",21,"7th jury member","21st voted out",0,"Female",15,1,17,0,0.71
"AU0068","AU",3,"AU03","Shonee",22,"8th jury member","22nd voted out",0,"Female",47,1,5,1,2.14
"AU0069","AU",3,"AU03","Brian",23,"9th jury member","23rd voted out",0,"Male",53,1,15,1,2.3
"AU0070","AU",3,"AU03","Sharn",24,NA,"Runner-up",0,"Female",61,1,17,2,2.54
"AU0071","AU",3,"AU03","Shane",25,NA,"Sole Survivor",1,"Female",49,1,15,1,1.96
"AU0072","AU",4,"AU04","Anastasia",1,NA,"1st voted out",0,"Female",6,0,1,0,6
"AU0073","AU",4,"AU04","Laura",2,NA,"2nd voted out",0,"Female",5,0,1,0,2.5
"AU0074","AU",4,"AU04","Susie",3,NA,"3rd voted out",0,"Female",5,0,3,0,1.67
